#  Detector,Energy,Pixel,Amplitude,Center,Width,Background,lowerBin,upperBin,A4Offset
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.816363177490182807e+03,1.864910156665668950e+01,1.191662435382504048e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000178e+01
1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.580260503659776077e+03,1.864910156665668950e+01,1.139647756980432192e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000178e+01
1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.549801760765324843e+03,1.864910156665668950e+01,1.226686289669079999e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000004441e+00
1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.367924539117037966e+03,1.864910156665668950e+01,1.034206501724616256e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000888e+00
1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.502143908969292852e+03,1.864910156665668950e+01,1.109020389976572707e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000003553e+00
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.438665383937240676e+03,1.864910156665668950e+01,1.141908643259060607e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.302721556439820461e+03,1.864910156665668950e+01,1.101867154980638031e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.499999999999997335e+00
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.433643362313055150e+03,1.864910156665668950e+01,1.149605271438987053e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.999999999999994671e+00
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.937572695569622010e+04,1.864910156665668950e+01,1.804218880072612885e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-7.499999999999998224e+00
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.970745663632459582e+03,1.864910156665668950e+01,1.020595920070531459e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-9.999999999999994671e+00
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.335006005230387927e+03,1.864910156665668950e+01,1.251252657870555618e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.249999999999999822e+01
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.570908395891573718e+03,1.864910156665668950e+01,1.351535443999934971e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.499999999999999645e+01
2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.304964776002577310e+03,1.864910156665668950e+01,7.786589804640184909e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.750000000000000000e+01
2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.444848485863799169e+03,1.864910156665668950e+01,8.613881679604488140e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.999999999999999645e+01
2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.304848634101871085e+03,1.864910156665668950e+01,1.178324070841920257e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.249999999999999289e+01
2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.632124078299487110e+03,1.864910156665668950e+01,1.514293787225132304e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.499999999999998934e+01
2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.317976304355455568e+03,1.864910156665668950e+01,1.229705255935471309e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.750000000000000000e+01
2.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.276055379549437703e+03,1.864910156665668950e+01,1.298222755379006665e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.999999999999999645e+01
2.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.326805795145648744e+03,1.864910156665668950e+01,1.291477083678253424e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.249999999999999289e+01
2.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.132321145202485013e+03,1.864910156665668950e+01,1.164381344170057675e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.499999999999999289e+01
3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.211188985570528985e+03,1.864910156665668950e+01,1.252921339788365618e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.750000000000000000e+01
