#  Detector,Energy,Pixel,Amplitude,Center,Width,Background,lowerBin,upperBin,A4Offset
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.377515815350000139e+02,4.000000000000000000e+00,1.888256845571280040e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000355e+01
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.127763934649999982e+02,4.500000000000000000e+00,1.574170882080331291e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000355e+01
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.767643791599999759e+01,2.500000000000000000e+00,4.378399093610677362e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.750000000000000000e+01
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.965662858950000214e+01,3.000000000000000000e+00,3.369333521416994159e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.750000000000000000e+01
2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.202777756229999966e+02,3.500000000000000000e+00,2.532076564277731645e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.750000000000000000e+01
2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.195550298429999998e+02,4.000000000000000000e+00,1.850640571134356760e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.750000000000000000e+01
2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.188266282539999992e+02,4.500000000000000000e+00,1.718961907502056130e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.750000000000000000e+01
2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.016576105789999929e+01,2.500000000000000000e+00,5.412797427348689183e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000355e+01
2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,nan,3.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000355e+01
2.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,nan,3.500000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000355e+01
2.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.136809261030000044e+02,4.000000000000000000e+00,2.187005662857736787e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000355e+01
2.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.305051483679999933e+02,4.500000000000000000e+00,1.555354978762051310e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000355e+01
3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.952573586619999446e+01,2.500000000000000000e+00,3.760336674840412563e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.250000000000000355e+01
3.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.194613203079999977e+02,3.000000000000000000e+00,3.330604695263731152e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.250000000000000355e+01
3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.539967137449999939e+02,3.500000000000000000e+00,2.269874581002770064e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.250000000000000355e+01
3.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.138081611490000000e+02,4.000000000000000000e+00,1.948998258681957196e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.250000000000000355e+01
3.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.303851880340000093e+02,4.500000000000000000e+00,1.626547612188119274e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.250000000000000355e+01
3.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.956127626709999845e+01,2.500000000000000000e+00,5.123374042046425991e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000355e+01
3.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.636519012339999790e+01,3.000000000000000000e+00,3.738329979333656183e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000355e+01
3.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.438967029689999890e+02,3.500000000000000000e+00,2.860029785051982021e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000355e+01
3.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.158341049819999995e+02,4.000000000000000000e+00,1.906644389962289132e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000355e+01
3.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.335651213369999937e+02,4.500000000000000000e+00,1.623067706599574889e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000355e+01
